ID,COUNTY,NAME,STNAME,POPESTIMATE2015,CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,WHITE,HISPANIC,BLACK,ASIAN,NATIVE,OTHER,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,00..10,10..15,15..25,25..35,35..50,50..75,75..100,100..150,150..200,200..999,LESS_THAN_HS,HS_DEGREE,SOME_COLLEGE,BS_DEGREE
0,1,Leipzig,Sachsen,601668,Sachsen,4077937,0.49086,0.50914,1.0,0.0,0.0,0.0,0.0,0.0,0.054,0.045,0.037,0.039,0.064,0.093,0.095,0.079,0.057,0.06,0.064,0.058,0.052,0.048,0.041,0.053,0.036,0.025,0.075,0.103,0.188,0.142,0.176,0.155,0.118,0.029,0.013,0.001,0.2248,0.3565,0.1713,0.2474
1,1,Dresden,Sachsen,560641,Sachsen,4077937,0.49987,0.50013,1.0,0.0,0.0,0.0,0.0,0.0,0.053,0.049,0.042,0.042,0.062,0.078,0.086,0.075,0.062,0.058,0.063,0.061,0.051,0.052,0.04,0.056,0.041,0.029,0.075,0.103,0.188,0.142,0.176,0.155,0.118,0.029,0.013,0.001,0.221,0.35,0.161,0.268
